Tweet_count,Username,Text,Created At,Retweets,Likes
1,Vivid.🇮🇱,"“You fucking dumb bitch. I love Hamas. Open your window.""

This was in New York City.

Wherever you see this flag 🇵🇸, there’s always violence, chaos, and terrorism. I wonder why.

 https://t.co/qgH8u0yMdY",Thu Mar 13 14:31:22 +0000 2025,12500,55991
2,@Chicago1Ray 🇺🇸,"FAFO 🚨

NYPD is arresting these tyrants at Trump Tower who support Hamas sympathizer Mahmoud Khalil 

Raise your hand ✋️ if you want them detained until ICE can determine if any are on visas, so they can expelled from this country 

 https://t.co/dyldNtsatv",Thu Mar 13 18:16:09 +0000 2025,10209,55555
3,🦅 Eagle Wings 🦅,"A restaurant manager in Beverly Hills, CA, knocks out a Hamas protester who was harassing his customers.
B 👏🏻R👏🏻A👏🏻V👏🏻O👏🏻. https://t.co/Y1skqQr0s7",Thu Mar 13 01:02:30 +0000 2025,2021,8531
4,Vivid.🇮🇱,"⚠️This is the video that those anti-Israel accounts are trying to hide from you.

Palestinian father encourages his son to throw rocks at the IDF, while shouting ""Shoot him!"". This is the sick education Palestinian children are receiving.

The IDF soldier gave him a high-five. https://t.co/VoAgNCe0YU",Wed Mar 12 13:30:00 +0000 2025,2406,5581
5,Vivid.🇮🇱,"This is the “Free Palestine” movement.

- Hamas flags  
- Death to America  
- Violent and aggressive  
- Genocidal slogans to Jews  
- Anti-American scum  

Deport them all.

 https://t.co/djnqBCHQmk",Wed Mar 12 19:03:50 +0000 2025,5790,20501
6,𝗡𝗶𝗼𝗵 𝗕𝗲𝗿𝗴 ♛ ✡︎,"'Palestinian' woman, last year:

""I say to Trump: Your end will come at the hands of a Palestinian boy""

She says this after threatening to burn Jews.

This is not a fringe opinion among these people. President Trump is 100% right in deporting anyone supporting this cause. https://t.co/7G3P0pzY2D",Wed Mar 12 14:46:16 +0000 2025,4697,17061
7,Dr. Maalouf ‏,"So, Mahmoud Khalil, a self-proclaimed ‘Palestinian’ who was born in Syria but holds Algerian citizenship, moved to the US only in December 2022.

During his first year in America, he found the love of his life, got married, and received a green card.

He spent his entire 2 years https://t.co/Uw1V1eFdgi",Wed Mar 12 19:28:35 +0000 2025,12963,59766
8,Shabbos Kestenbaum,"Mahmoud Khalil is a perfect example of the ""Palestine exception.""

You don't get to come into this country, violate the laws you want,  harass students in the name of Palestine, and then cry when your actions finally have consequences.

This has nothing to do with free speech. https://t.co/3mI0w8Y5fd",Thu Mar 13 03:09:12 +0000 2025,3076,16199
9,Charlie Kirk,"It's not widely known, but over HALF of Columba University's enrollment is now foreign students. Some of them are people like Mahmoud Khalil, who spent all his time agitating in support of Hamas terrorists.

But if you dig deeper, the true story is even more appalling: Columbia https://t.co/gQQ6qi5x4u",Wed Mar 12 16:12:58 +0000 2025,22617,73591
10,Oli London,"George Floyd was a convicted felon who went to jail 8 times. 

He held a gun to a pregnant woman’s stomach during a robbery. 

Mahmoud Khalil led a violent protest at Columbia in support of Hamas. 

He led a campaign of terror against Jews. 

These are the ‘heroes’ of the Left. https://t.co/adsiR5Ke6y",Thu Mar 13 03:47:15 +0000 2025,9689,34927
11,Tucker Carlson,"Darryl Cooper may be the best and most honest popular historian in the United States. His latest project is the most forbidden of all: trying to understand World War Two.

(1:20) History of the Israel-Palestine Conflict
(12:39) The Jonestown Cult
(32:10) World War Two
(45:04) How https://t.co/HJ2B8RjcCY",Mon Sep 02 17:00:41 +0000 2024,13208,54226
12,Benjamin Netanyahu - בנימין נתניהו,"Yahya Sinwar is dead.

He was killed in Rafah by the brave soldiers of the Israel Defense Forces. 

While this is not the end of the war in Gaza, it's the beginning of the end. https://t.co/C6wAaLH1YW",Thu Oct 17 21:27:00 +0000 2024,23350,145162
13,Nick Sortor,"🚨 After 40+ minutes, President Trump is still GOING OFF in the Oval Office 🤣

“Schumer is a Palestinian as far as I'm concerned. He's become a Palestinian. He used to be Jewish. He's not Jewish anymore. He's a Palestinian.”

What a legend 😂🔥 https://t.co/84xcgt4v4T",Wed Mar 12 17:26:06 +0000 2025,8650,45218
14,Gunther Eagleman™,"BREAKING: Palestinian Senator Chuck Schumer indicates that the Democrats plan to shut down the government.

Legacy media will never share this, so let's make it viral! 

Let everyone know who's responsible for the shutdown! https://t.co/1tMdoFAgLP",Wed Mar 12 21:32:59 +0000 2025,27586,43988
15,Laura Loomer,"HAPPENING NOW:

Hundreds of Marxist Jewish protesters from Jewish Voices for Peace, a leftist Jewish group that advocates for Palestinians, have just stormed and occupied the lobby of Trump Tower in NYC to protest President Trump’s deportation order of pro-Hamas, Palestinian https://t.co/tPPt3BSbMa",Thu Mar 13 16:38:37 +0000 2025,1272,5198
16,Marina Medvin 🇺🇸,"We have been looking at the Gaza problem wrong the entire time.

It’s not that the current Gaza residents want to stay — it’s that they can’t get out.

Egypt has set up a blockade on the Gaza civilian population, preventing them from leaving Gaza. 

Egypt must allow Gaza https://t.co/K3Vl5j6scW",Thu Mar 13 23:28:38 +0000 2025,304,1009
17,Dr. Maalouf ‏,"Trump has promised to deport foreign students who express support for terrorist groups such as Hamas.

Should foreign agitators who burn the American flag and express hatred for America also be deported? https://t.co/MvtpB5rPKg",Thu Mar 13 20:08:44 +0000 2025,658,3785
18,PammsyNow,"Wow! Has hell frozen over⁉️ ⁦@billmaher⁩ makes sense‼️ I agree with him‼️ Now go one step further &amp; quit voting blue, Bill! This is what the commie Dems have become… terrorist aka Hamas sympathizers &amp; cheerleaders‼️It’s crazy!🤯 https://t.co/O9YG6fI4SP",Wed Mar 12 05:03:06 +0000 2025,3447,18647
19,Jackson Hinkle 🇺🇸,"🚨🇵🇸 PEOPLE ARE STRUGGLING TO GET FOOD IN GAZA!

ISRAEL DID THIS!

ZIONISM IS EVIL! https://t.co/CwwynbgdSL",Thu Mar 13 09:02:11 +0000 2025,5323,10183
20,Buzz Patterson,"Arrest and, if appropriate, deport. In fact, send them non-stop to Gaza.
https://t.co/LIwpiW7BPp",Thu Mar 13 17:54:07 +0000 2025,573,3136
21,Palestinian News 🗞️,"Palestine in 1945 🇵🇸

It was Beautiful Before ZIONISTS came as Refugees https://t.co/CugM9hZ5lm",Thu Mar 13 12:40:53 +0000 2025,2267,7272
22,Peggy Dodson,I TOOK A QUICK BREAK TO RUN DOWN TO TRUMP TOWER TO GET THE SKINNY ON WHAT HAPPENED TODAY WHEN HAMAS PROTESTERS TOOK OVER THE FIRST FLOOR OF TRUMP TOWER IN PROTEST. WE REALLY NEED TO FIND OUT WHO IS PAYING FOR THESE PROTESTS!!!! THANK YOU @NYPD AND @SecretService https://t.co/wnPqMKZK5N,Thu Mar 13 20:31:12 +0000 2025,481,2022
23,sarah,"BREAKING:

The UN accuses Israel of using rape and torture as weapons of war to dominate, oppress and destroy the Palestinian people.

These are war crimes, crimes against humanity, and acts of genocide. https://t.co/GDy6qsq17J",Thu Mar 13 16:36:28 +0000 2025,6724,12529
24,BRIAN FRASER,"Shocking news out of Paterson, NJ: Muslim politicians have reportedly seized power, declared the city “The Capital of Palestine in America,” raised Islamic flags, and are pushing Sharia law. This is a direct threat to our constitutional values and national unity. We cannot allow https://t.co/iea63fc5wX",Thu Mar 13 17:14:34 +0000 2025,3372,4712
25,Vivid.🇮🇱,"Here is Mahmoud Khalil in New York, glorifying Hamas and leading hundreds of pro-Hamas, anti-American terrorists, shouting for the complete and utter destruction of Israel.

Anyone who defends this idiot hates America, simple as that.

https://t.co/B6S0pX7L8t",Thu Mar 13 08:30:00 +0000 2025,2159,5851
26,Insurrection Barbie,"Soros gave 7.6 million dollars to Indivisible, the group who has waged a global Intifada against Tesla. 

Soros funded the Ferguson riots. 

Soros funded the riots at Trump’s first inauguration. 

Soros funded the Floyd riots. 

Soros funded the pro-Hamas riots. 

Is there anyone",Fri Mar 14 04:31:41 +0000 2025,5253,17898
27,Elon Musk,The radical leftists are really upset that they had to take time out of their busy day praising Hamas to call me a Nazi,Thu Jan 23 02:37:38 +0000 2025,49913,483350
28,Vivid.🇮🇱,"This is Pumba, a hero on four legs who fought inside the Gaza Strip alongside IDF soldiers, was critically injured, survived, recovered slowly, and began walking again. ❤️

We are forever grateful for these warriors on four legs. https://t.co/p8bFAv9Scm",Thu Mar 13 12:00:02 +0000 2025,1780,12337
29,Vivid.🇮🇱,"A woman who grew up as a child in the Gaza Strip tells the world how children are taught to hate in schools. Peace was never an option. They wish upon themselves to die as martyrs.

""May God destroy the Jews, the infidels, and the Christians.""

The world must see the truth. https://t.co/NrOz23I92x",Wed Mar 12 21:59:00 +0000 2025,3517,7947
30,Vivid.🇮🇱,"Your husband was busy shouting “Death to America,” spewing hatred toward Jews, openly supporting Hamas, violently calling for intifadas, and leading a group of anti-American terror supporters in violent protests. 

Deporting him to Syria is justice. https://t.co/2odoFoe7ns",Wed Mar 12 16:07:57 +0000 2025,838,3507
31,Mohamad Safa,"Children in Gaza have only 245 calories per day! 

Forced starvation is an act of genocide. https://t.co/UNlzpMcMwI",Wed Mar 12 05:52:08 +0000 2025,13447,24525
32,Vivid.🇮🇱,"🚨BREAKING: Dozens of Hamas-sympathizing fanatics have violently occupied Trump's Tower in New York City, chanting to free Mahmoud Khalil right now.

Not one of them mentioned the American hostages.

They are all anti-American, terror-supporting scum.

https://t.co/KiVOoq3bHp",Thu Mar 13 16:05:00 +0000 2025,2509,9938
33,Vivid.🇮🇱,"Son of the Co-Founder of Hamas, Mosab Hassan Yousef:

“Israel is the most legitimate ethnic group in the region, with overwhelming evidence of its relationship to that land. Muslims have been trying for the past 1,400 years to annihilate the Jewish people from that land."" https://t.co/URjSg42mIn",Wed Mar 12 09:59:00 +0000 2025,1069,3808
34,Amjad Taha أمجد طه,"The Islamist regime in Syria killed her family, her love, and her neighbors. Why? Because they belonged to minorities: the Alawites, just like Christians and Druze. Where are the world's feminists? Oh, they’re too busy defending Hamas- Gaza terrorists.
https://t.co/Cm34a4EeP1",Thu Mar 13 04:06:13 +0000 2025,1920,3697
